Geneid	/home/jvtars/ipe/bam_files/SRR11144483.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144484.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144485.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144486.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144481.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144482.sorted.bam
CDL12_00358	716	788	1450	1159	1440	2475
CDL12_00359	1309	776	1682	1332	1827	1380
CDL12_00360	921	1351	1204	488	474	228
CDL12_00361	454	292	415	551	752	446
CDL12_00362	62	50	133	4	244	6
CDL12_00363	1092	696	2888	869	3874	1262
CDL12_00364	2	0	2	6	6	12
CDL12_00365	39	7	1	20	82	79
CDL12_00366	0	0	0	0	0	0
CDL12_00367	28	36	12	38	10	54
CDL12_00368	396	350	262	363	669	482
CDL12_00369	235	236	172	121	339	167
CDL12_00370	8	0	8	4	14	6
CDL12_00371	1329	1591	2540	2228	2500	725
CDL12_00372	1523	1747	1657	1154	2172	3147
CDL12_00373	69	116	147	14	62	33
CDL12_00374	1137	1181	757	480	788	553
CDL12_00375	674	457	792	803	1464	689
CDL12_00376	256	289	378	370	1185	1384
CDL12_00377	0	0	0	2	2	0
CDL12_00378	4	4	0	4	0	4
CDL12_00379	0	1	0	0	0	0
CDL12_00380	0	1	4	0	0	2
CDL12_00381	339	325	409	443	607	665
CDL12_00382	2211	2084	3033	2310	6205	2954
CDL12_00383	6	10	0	24	2	64
CDL12_00384	343	286	364	72	224	103
CDL12_00385	997	450	1550	1016	2152	666
CDL12_00386	1069	1198	2181	739	712	583
CDL12_00387	0	0	0	0	0	0
CDL12_00388	0	0	0	0	0	0
CDL12_00389	0	0	0	0	0	0
CDL12_00390	2	0	4	6	9	12
CDL12_00391	1740	2166	3374	3294	3656	3671
CDL12_00392	108	90	70	92	86	122
CDL12_00393	84	148	3119	1301	2172	488
CDL12_00394	0	0	2	0	0	4
CDL12_00395	1586	3077	5500	112	1855	92
CDL12_00396	2740	858	2995	3131	5502	1936
CDL12_00397	1331	1160	1517	1005	4486	2130
CDL12_00398	8488	12030	38914	11986	16174	1654
CDL12_00399	1558	1578	5766	1489	5751	3749
CDL12_00400	1366	1511	3417	1720	2668	5838
CDL12_00401	943	965	1429	1173	1324	1811
CDL12_00402	381	459	905	873	1378	927
CDL12_00403	775	627	915	866	2260	1635
CDL12_00404	0	0	0	0	0	0
CDL12_00405	252	219	280	338	636	321
CDL12_00406	110	46	272	136	365	9
CDL12_00407	26	1	31	22	24	0
CDL12_00408	8	0	3	8	2	0
CDL12_00409	249	37	167	158	241	18
CDL12_00410	0	0	0	0	0	0
CDL12_00411	549	34	1562	209	860	30
CDL12_00412	2943	286	4211	3435	6522	327
CDL12_00413	83	2	199	148	100	0
CDL12_00414	0	0	0	0	2	2
CDL12_00415	0	0	0	0	0	0
CDL12_00416	0	0	0	0	0	0
CDL12_00417	0	0	0	0	0	0
